Order ID,Customer ID,Order Date,Ship Date,Delivery Date,Ship Mode,Postal Code,Market,Order Priority,Deadline Date,Order Status
AE-2011-9160-PO-8865,['PO-8865'],2011-03-10,2011-03-29,2011-04-01,Standard Class,['5137041'],EMEA,['Medium'],2011-04-19,Delivered
AE-2013-1130-EB-4110,['EB-4110'],2013-10-14,2013-10-14,2013-10-23,Same Day,['51378252664'],EMEA,['High'],2013-11-23,Delivered
AE-2013-1530-MY-7380,['MY-7380'],2013-12-31,2014-01-17,2014-01-22,Second Class,['51378252664'],EMEA,['High'],2014-02-09,Delivered
AE-2014-2840-PG-8820,['PG-8820'],2014-05-11,2014-06-03,2014-06-05,First Class,['5137041'],EMEA,['Critical'],2014-06-20,Delivered
AE-2014-3830-GH-4665,['GH-4665'],2014-12-13,2014-12-19,2014-12-25,Standard Class,['51378252664'],EMEA,['Medium'],2015-01-22,Delivered
AE-2014-4120-JD-5790,['JD-5790'],2014-07-03,2014-08-06,2014-08-07,Standard Class,['5137041'],EMEA,['Medium'],2014-08-12,Delivered
AG-2011-1070-TH-11235,['TH-11235'],2011-10-01,2011-11-01,2011-11-04,Second Class,['02255787'],Africa,['Medium'],2011-11-10,Delivered
AG-2011-1390-DH-3675,['DH-3675'],2011-08-16,2011-08-21,2011-08-25,Standard Class,['02138341'],Africa,['Medium'],2011-09-25,Delivered
AG-2011-1440-DB-3210,['DB-3210'],2011-12-15,2011-12-20,2011-12-27,Standard Class,['02255787'],Africa,['Medium'],2012-01-24,Delivered
AG-2011-2040-TB-11280,['TB-11280'],2011-01-01,2011-01-04,2011-01-07,Standard Class,['02255787'],Africa,['Medium'],2011-02-10,Delivered
AG-2011-3090-AH-210,['AH-210'],2011-08-13,2011-08-17,2011-08-26,Standard Class,['023472'],Africa,['Medium'],2011-09-22,Delivered
AG-2011-3130-AJ-780,['AJ-780'],2011-11-03,2011-11-04,2011-11-07,Standard Class,['02131320'],Africa,['Medium'],2011-12-13,Delivered
AG-2011-380-CC-2370,['CC-2370'],2011-03-03,2011-04-03,2011-04-08,Standard Class,['023472'],Africa,['Medium'],2011-04-12,Delivered
AG-2011-4410-JH-5985,['JH-5985'],2011-02-11,2011-03-07,2011-03-16,First Class,['02138341'],Africa,['High'],2011-03-23,Delivered
AG-2011-4450-RS-9765,['RS-9765'],2011-06-15,2011-06-15,2011-06-18,Same Day,['023472'],Africa,['Critical'],2011-07-25,Delivered
AG-2011-450-BC-1125,['BC-1125'],2011-07-11,2011-08-05,2011-08-07,Standard Class,['023472'],Africa,['Medium'],2011-08-20,Delivered
AG-2011-4560-EG-3900,['EG-3900'],2011-12-20,2011-12-27,2012-01-01,Standard Class,['0251121'],Africa,['Low'],2012-01-29,Delivered
AG-2011-500-AS-285,['AS-285'],2011-11-23,2011-11-27,2011-11-29,Standard Class,['02255787'],Africa,['Medium'],2012-01-02,Delivered
AG-2011-60-TT-11070,['TT-11070'],2011-08-13,2011-08-18,2011-08-20,Second Class,['023472'],Africa,['Medium'],2011-09-22,Delivered
AG-2011-7230-AC-420,['AC-420'],2011-07-01,2011-07-16,2011-07-24,Standard Class,['023472'],Africa,['Medium'],2011-08-10,Delivered
AG-2011-7710-BM-1785,['BM-1785'],2011-05-24,2011-05-27,2011-05-30,First Class,['023771271'],Africa,['Critical'],2011-07-03,Delivered
AG-2011-8180-RO-9780,['RO-9780'],2011-02-25,2011-02-25,2011-03-06,Same Day,['023472'],Africa,['Critical'],2011-04-06,Delivered
AG-2011-8390-MW-8220,['MW-8220'],2011-07-19,2011-07-24,2011-07-28,Standard Class,['027502373'],Africa,['Medium'],2011-08-28,Delivered
AG-2011-8930-MW-8220,['MW-8220'],2011-12-26,2011-12-27,2012-01-02,Same Day,['023472'],Africa,['Medium'],2012-02-04,Delivered
AG-2011-9060-OT-8730,['OT-8730'],2011-12-20,2011-12-25,2011-12-31,Standard Class,['02255787'],Africa,['Medium'],2012-01-29,Delivered
AG-2011-9610-AA-645,['AA-645'],2011-04-22,2011-04-25,2011-04-27,First Class,['023472'],Africa,['High'],2011-06-01,Delivered
AG-2011-9670-DK-2835,['DK-2835'],2011-12-22,2011-12-24,2012-01-01,First Class,['028522778'],Africa,['Medium'],2012-01-31,Delivered
AG-2011-9890-BM-1785,['BM-1785'],2011-06-26,2011-07-21,2011-07-27,Standard Class,['027502373'],Africa,['Medium'],2011-08-05,Delivered
AG-2012-170-PF-9165,['PF-9165'],2012-11-30,2012-12-26,2012-12-28,Second Class,['02991436'],Africa,['Critical'],2013-01-09,Delivered
AG-2012-1940-BP-1230,['BP-1230'],2012-07-31,2012-08-10,2012-08-15,Standard Class,['025471755'],Africa,['Medium'],2012-09-09,Delivered
AG-2012-2200-TS-11505,['TS-11505'],2012-11-29,2012-12-21,2012-12-24,First Class,['023472'],Africa,['Medium'],2013-01-08,Delivered
AG-2012-2220-MV-8190,['MV-8190'],2012-09-11,2012-10-18,2012-10-21,Standard Class,['023472'],Africa,['Medium'],2012-10-21,Delivered
AG-2012-2220-PO-8865,['PO-8865'],2012-12-26,2012-12-30,2013-01-02,Standard Class,['023771271'],Africa,['High'],2013-02-04,Delivered
AG-2012-2430-CC-2430,['CC-2430'],2012-08-31,2012-09-21,2012-09-23,Standard Class,['028522778'],Africa,['Medium'],2012-10-10,Delivered
AG-2012-3190-SZ-10035,['SZ-10035'],2012-05-19,2012-05-24,2012-05-31,Standard Class,['02990287'],Africa,['Medium'],2012-06-28,Delivered
AG-2012-4060-LM-7065,['LM-7065'],2012-03-19,2012-03-21,2012-03-29,First Class,['0251121'],Africa,['Medium'],2012-04-28,Delivered
AG-2012-4630-CP-2340,['CP-2340'],2012-05-28,2012-05-30,2012-06-05,Second Class,['027502373'],Africa,['Medium'],2012-07-07,Delivered
